hash,TB
00b6dd4fc7eb817e03708c532016ef30ce564a61,6.0
00bef8afee8f3c595d535c9c03c490cac1a4f021,7.050000000000001
01122b3ef7e59b84189e65985305f575d6bdf83c,6.35
013de369c439ab0ead8aa7da64423aa395a8be39,7.5
014c59c6433fd764a0b08de6ffeb757eaf60aa73,5.9
0155f91fe242fe55e1af631b0f0afbe9938b185c,6.199999999999999
016f87a7bd87f233a8633fba8a1ca7ef5c3c63c1,7.25
017ec1bbad0d598e5a86ac3bd595b870b6456e61,6.1
01ad03ec301749c033155fc17e657cc767d447c8,6.35
020ef1c31cb4751bbfa1a88fba782db3c402e2fa,6.3
020f253c343856ea875e959023e79fb1d4d9c0a3,9.0
0248e16d134e1bd5b4352701e1f23b904b7c4cdf,7.6
024af5e4f76c23e7f08616c60e595453e538a1ba,8.65
0297fd76b36e100882756e636bb03031255f57da,6.8
02c88d535d7393d30ce3338174d0a17ee7e8b8cc,5.449999999999999
02f8a629f1a01a476de3944da2860d1c107f1b28,5.7
0304aa9c12a1c900dcb4413c6a4ce40cc05b1696,8.85
0306a80129ed6d5afadece8164929697bbbdea69,7.25
0341249377940c004d0823408ace7cddbddbc923,8.55
0367f82909c46a900501cc32d02b913923f75314,9.5
038dfa39ea11eb199e32e61fa4bd264d6d7ebc72,8.5
041dc9a457bc7a9f1dcb5b215aaa78a6868483f5,8.3
045792bbf5167d31c0064c8520d189a09f276502,6.55
04d32bf7b10a238244d3e1acc3bcf53a449daf99,5.35
04fea422f4b51279771239f896f7acb7224a2def,7.949999999999999
04feabadb3e2d863eded075f541be8ff78d50474,7.0
052039d5c5915699359b1d549b36ea69330c0ac3,7.0
05203b8a827f60a7cbb49a7d04a0b45dae39fa8d,8.4
05218d5a6d67f5c1d6305dffb907e940260304c1,7.9
0538762f44e8dfb07dc26c8c771f06080b9b2dee,5.15
056711f171807d5b28f83e7afeb3d7e18ec3a5d9,6.4
0577e3c1b0a6df46c7fef07f400b42811cc77250,8.2
057b868ab03f5596f4a8c2e579c401f2fe9a2dfe,6.0
05b134c1a682085880fb7ce76d221a48955e5b8a,8.95
05b7c7d664702d3677ddbf5a03e976e24b16544c,6.2
05ed34d40112c0d0c446cb9c00fa6e14851a7aa1,7.9
05f7b04136abf33daf80973c0942a91751222e1e,4.75
0601ede7fba3727ac6cae3653b12cebafea42863,8.35
06024da8147b5cf6105beb4c403f67cf1ff0aea1,0.0
0603b8a222e368a7727190b2883c7ad7b96ce5ac,7.75
061a128e882272cd17340c8feb637cd0ff9e5dbf,7.45
062e8c58d3f85428aeed19095d12dcab6806f2ac,7.35
063c339a318b967ec77cd523f9ae4c62a7afa083,5.65
06490d06037ae75484a0a36a7a46e126b0b49495,7.6
0659d0431565eaacdc601973560ee8331f910947,6.45
06b43a9d40f16603a72a6333318a5086b7bb7e12,6.8
070671333adf94dadc433fcafc872c6301dd0744,4.95
073de6e606b6b7f3f44a8e8301ee87c3c978a2e2,5.800000000000001
076cc92aff4d582b4b87ff0d111496e4a646b12b,8.4
0785a61c54bc37c6ddad3c02b29d1f9e15adf85b,7.45
0799ab89dacde8042474f7bfe75a739fd151b73d,8.6
080df7c3716ee6b773c346c67056400fc235ffec,7.7
081cbf0e54173c1b4c90be93a514521bc9c710fb,7.55
081f6737145108d2cfb3e432f03d59670bae3ded,6.4
0821ac06ae77101d7dd9b8dd103f79ffa46657ab,4.4
08399013cfa671c37b50b71ef25f1b2fd606c009,8.75
08838c74dc4154d8f49b1408d27fb46ccb92d329,6.05
08b8ccf18df77b125fb5306e9ffb55ad284e1872,8.55
091ed1fe8fc042e202205f09f3d49a065c0f4da2,8.3
092370bceb84374c83ca09e8d8f93c837d923bc7,8.15
09cbbae64d03af8ca53224aaef7657171ba27f50,9.2
09cbe188b9d1e965edf6c1c46a96b9306ec2f329,7.15
0a2c78cee9afdc522c5f0fae46937138f47b152b,3.6999999999999997
0a99205e11c0c6d86b348a926f693d6529e0210f,8.3
0a9b6ec3e82e8a2527b21eb3420a6d9b72f4f71e,8.4
0aad9682c3c4280eb05dbd27e6cab55f4b1ae4b4,9.55
0ac20d28419a43394bc94b257c7aab70e87f1675,5.35
0aee33404db5dc946de8c70be37c6e82582885c6,8.25
0af47eed4e0bd9c21637fc39db8fc17fedb6b1c0,3.65
0aff6f7083979073168bbdd6c227015eb09eced9,3.75
0b066d297dd2f4288d95b0f4a92a8af79b542bf3,6.25
0b18b1d653e0d031e1aee9129432b668c4264d3f,5.1
0b26c12ecc1bc4c1f127d5e6f6302b1b0b584faf,4.800000000000001
0b4355398b9c16ac0a7f559752e83b655f5aa6c7,9.15
0ba5c041f797e8baecc5f32034046994b801cbcf,4.3
0bd2037bf68a97753e5e67ab55dac026a649f279,3.1999999999999997
0bd4c0cd006b55dbfa7806aa4b45926119ce9540,5.9
0bf71ee0dbde0fb1033887111d3094c61e66f44b,9.25
0c67423aa82630d4406e9477bb7462db4df09c4d,9.4
0c9cad573ea42e5a8d9058b834cbc9255128d54b,7.9
0cab57d7705bafe60116d29a1019a774cd661f02,7.4
0d05b13c0460dbd3e3e99537d6eb4665b0dd194b,6.2
0d667a9fcdc7162fa7182f0e14302a56dbe700c5,4.9
0d815307d5307124d148bbebfb41497230c4bd15,0.0
0dd138a9a2b0349ede3fee340cb02e40197aea3d,7.35
0de8af23bfda13f21ed67e41a5aace53ff8aef99,7.1
0dfa65b4dafad47b15abbfd6c6ce1aeb213901cf,2.55
0e0d9e9f9bc2173402e77be7eaaaf0d562168009,5.4
0e346c62a6706465a1c49c59224eed1cdb5f7f5c,7.05
0e51dc16b3d9de6cbcada8abb58ddeddb448b6e8,5.4
0e63b2194be2efd4b5b5f2b6e2d77ac12aaadec3,8.9
0eb93817d6eb3d5bd3e44dbc75971eea193b924f,0.0
0ee9ac569e379f04a42a18c88cca093ef1121ab8,7.15
0f0664021ebbec70b1d3bb5a5419e22507179671,5.8
0f8c46242826be3cbe5e14f5773ee1da97697024,7.85
0fbb7000a8fd1f413cd7a06ec7baf2b1f6eb493a,4.95
0fbef055915162cb6d6501558499544d6dedb799,7.949999999999999
0fc728b5b267485042d587eeac067b6c4e2a1d15,2.4000000000000004
0fc74820b7bcdd23c196f494e7686305acbdc71e,7.65
1004df3c370eb09604c10fd89f9e86a2c037a7dd,3.0999999999999996
10208a0e6cd46ed16c4fd6b83f3993696ace5495,6.4
10253729dc5e3b0b2d3dddc37638199910394daf,7.55
1032e725ab35f7bffc504759477f8243066a026b,6.1
108f1062e8ab6d51f404e7f639e781edc9ae5eb2,6.45
10ab3b376215f6afcfc642ea66a50f92cf944717,7.7
10e3359db56b99eb2f621d7c875f3c26cdd01a64,7.800000000000001
110da1d7ba2be3ffa13d62c7ed8b917e5dcebece,8.85
1133fe0ca8444133bea1e55ef5b4026b5e8445fc,7.0
117d3bf4a5deb7a9f3422f088e10bb3f8eeb7e12,7.85
11f5d8226ebf0108a5a4ecad896a990ecb369247,3.2
11f61032ed64123d44a372930101fd5f3877e010,8.55
11f93249faeb096567269266fbebfc3b0f6b5dc1,5.65
123c4ff5313ccf709b3bc4bd3365087685440c71,3.0
12607a7c2283944afc08e1ce4df79ba688a31f74,7.4
1271071dc622e3a72b0ef187b6e955b9d59db5f8,3.85
127974170c7fb2e3945a3c5b666bb7f6dadc87ad,8.1
128ed4bebb12d030efad936db13d26a620bd620a,7.55
12aa60fde9ce650c25faf60398d3c071cb80c1b4,6.05
12d6e24985ac80a581968fb1f36d699e6dd1cd33,4.0
12da07c3cca4f480a6064f7cbedaec11d677814a,7.0
12f1e26c28f731fd2ad1787db42f4c13de432ea4,8.55
13293554378a8a5f29de5440ab1c49003af0214a,8.25
132d544dce1633485350dd582ed7f13fad5da3f4,4.8
1388c66d46212d87c084af2a8fdd0257444ce868,5.6
139aa923bf965f373c678ba8c10f500d78269e20,9.0
13b9e4710dc86e953960ebd2fbae7721d24fdc2a,5.25
141e7bebd6db0745569c97910301a67c9962826e,6.85
14354d2cff31b4330ad9e939b18cc8fce8c1c085,5.6
1438feeb138cf0a2ac3e5583f5caec35e3104234,6.8
143fdbefc9ba427b841fbd52b7999b2a996562af,6.75
1466659761d4827040ac1226fa45ad172c4743a4,7.25
14a29b0a13697ed0e000bdb9f374180ccb495a2c,6.05
14a493d035053a109eeeeb50a501d2b69a8ec429,5.0
14e9c7d5220ae70aadd1e37038e74bba41439d65,5.75
155290f106d7951f353d1290f55d95a5a1535e90,6.5
1587f82c10e4a0f4241b317cba4fb5691bab07a1,4.85
165e4e596c3bdade64bf0bd2491fa8234015f0d2,6.05
16a221ec975ec0eb2fcf4acd69fe87281d585ca7,7.65
16b6e419367318f9a3a28439ae013d55638ba0d3,7.0
172ed6401f9b9f97f6603c04fb2be3a83d495f12,5.25
17b62f15056932dddf225da7f5e30911e316f7ed,6.4
17ce312f66b2f6b7c5766e4d5cb1f7452aa20911,8.35
180a4c5f90b6d7bd4993c51385fb00b4d32d2834,5.65
18fc5492e3a88861f35c23bbb2805f724c1a135a,7.8
191ba6c8fd27e676f8c2f5341bfaf487765fa0dd,6.75
195aa2f618f1001a6ca4da0300dd8bb798013a73,8.25
19787a8ba9b724902ceb45f483190f766e9e291c,7.8
197914fcc84fa89dd136503225f5ecdbecb2600a,7.15
19bb25163e0a13d6d2b1606c92e1366ad7fd8341,7.4
19fb6947af793def84e3b7ab4f867bd460ad1b73,8.55
1a116d1e7d5af20a32ad9d0232b6803c70f7978d,7.5
1a4b69992c879b4e5f64e848ffdddc2f2f401e44,6.75
1a651a0e1038b173950ab2be4fb4b3016d617aa6,8.45
1a68900dd1fd8fa7892cc9450d53e991ca241785,9.65
1abf62f1e76bc5ac164061cff2a8171d6b6de657,3.35
1ad3d49b185ea0e42354cd94ac86c60ae982616d,5.85
1ae3ba4f07f87302215a9b35d195bfbeef187ebc,8.35
1b248f11648c9000f277a02dc5d4bea3800ba43a,4.85
1b30ad6d355a521cb70e2eff2efe28c3d2fcec9e,3.85
1bb7bc7fa80594c77e224e8f9632c765f26838e5,8.5
1bdf6175e8df831b083615bea765e48098904986,5.3
1bf00adb6ad4cfbed2cab01bf71398e1ed9db042,8.0
1c095c774d9d1d3a4ddcf533186e7146fdbf92a7,7.8
1c34dfe9c77773e6949a4d248b25897b3f78349d,5.4
1c38445c67beb9a58777c87a9c059cea1ccf2223,10.0
1c3928fd78413712a00cd78e6ec020b2cfc666fa,5.6
1cb262ad711450f9a6a0f5cf786788b17d2d481a,5.1
1ccece483f66d68acf592f017c1b5ca6c682542a,10.0
1ce192d1bbeca43c01873d6cd5a6318f4050fa56,4.7
1cfda392887d01754199fa5f5cecf6ea3c9b0fec,7.35
1d1a20a6ce616a1b0780f5c86f1f6cf9f7c9a5ff,8.4
1d2f411ed3ef95a96dea54ce6a09c0d0b65b6a7f,5.35
1d5ba7c1c8ab8d16890eeb1772560ab942c42003,7.3
1d9024c71085dc3822bac092baef8b238c3b497f,7.95
1db86260a9c5f649ae36ccd97c36920df2d51d20,8.9
1db8dc5d1005cd6d742fd9bfba759aeb2babab66,6.4
1dccadbfae8f0adb300cb239e727b2481e2b149e,9.55
1de22c51fffa76f33c3a7698a3f7a9e6ab6be9ac,8.25
1e055a4ba4266c760d42cc958ce119d344f402f6,9.4
1e09b1a5541a443716e68239b181fc116425a9b2,5.85
1e347993c7fb0053ac2a1b01b6b6c5a5fc3dad9d,4.85
1e48d7fffb4fbe08eec6151ce5b2378258d13aeb,3.8
1e4b0ce4b171b3e33195524f6a6425a1b8f98597,7.75
1e59ca9160cbe32a3bebef6df4339e30a16d0dfd,8.25
1e6562ac23e7980dcf32fa8963837c68dafc906f,6.25
1e87dd3db07a664f4eb34b7e0a3ac578ca8846f9,5.45
1f15254ccdc062083c8f4e02523e18c2384dc6e1,7.1
1f641156e4298943167e0e1ad7a63696ff3bc17d,9.0
1f7be2d565e2629c4ffe64c30c41252de69300c5,5.2
1f88d783ff0c3a19a1d34b4e45d71b4f9b14b976,8.25
1fde2156c0969b0aebe55ebab7ad14f529a492cf,7.0
1fec28e4753dac81fb5354793029a3a2f81c7b7a,6.449999999999999
1ff3bf1f9353578bd902ce0b3879369b46c72640,0.2
2003e05bf78d3b5b7f672aa1d02ae3aa0537706b,7.3
201b7f1b1071911915956b1d54f5b7e69a7d7cb3,5.8
209d7c77e7a150b6990a3372f7cb24da0c0e7e07,0.0
20efb5f5c748870210f094db59aa50c4360d32cc,6.85
213a1a52e92bd478f671a4e614a7ee5b82ea4b91,5.8
213a48a8028d2dd6ed42c47be4588ac5a909076b,7.1
21661552706810e470f97f098927a2b89d9b9eaa,5.9
216a3ccb8504db72c0b5ef227b00d61d2e2ec7be,5.7
2170453bef40f448016841b0ca5ad2e07143bf5a,6.65
218191f4a8648e65ada28c23f52f578dec21cd98,7.5
21a401ad12c3345ca4c3210d5d3c69db10526b98,8.6
21ab308abfa9829fcac76f8286d624afae8848aa,5.6
2290b12e40983b7635bc452c3b6e00c80549220a,8.45
2290d198e0649ef4dcfb6cd22d36d87969fb7bfb,7.65
22deb5e56e580b0b0353f10e076cad95a3b8e631,8.5
22e1f50c4e471c3ba307802b396b7d0a16706005,6.0
232cce96362898f08e9150ba244adaf2d6583ab2,7.05
2383a9a33025aa8759fee9a890f6420df0fc8b47,0.0
2396ff874216d36060ef615c0531d71684b30b4f,6.9
23d64bbdd55f11cb1d617be60d7b5901c5fda2e6,6.1
23e8b9776a349c810234bb174f7326d14c89bce5,6.8
242788be909743713c5ade123c9f0b13cc4b2db6,7.9
2427d12cf7a43c66b921bdd9de261fb9b452b2b9,3.85
247df99ea72a42d6c12d6bd7b58ca0b2e163182e,6.15
249c629226d7716b59d1841c45dbca54afe3c1a2,4.0
24a9bfba88ed640e9690cd9f6bf4a2985f78522b,4.9
251d2672c6ecd01a83e6fa19483d8e57ef5f45a5,8.1
253471036c41eba7c24bbb6e77d4541c95bbb5b7,4.449999999999999
2536ee746de2df68642ecf71037409e47fa1941c,6.5
254f59f316c0c9e98ce4d4ac6cb1718aef6d9f00,5.45
25501bb976f5234f69a8cb767dc5b4ab87a9021e,6.7
2572a6a2ba5183ab68c3da80b69071a6a05c3b84,7.95
25fe3c7b5bf2d814b49ed3523b5a27c744ae5513,4.85
26227f631ff63a4f02f7d69bda90131df9bab5dc,4.699999999999999
263102b5e7fbad9de96373d99c0697d8db856bb0,7.6
26374d5fbb53e326323e8de92a0745452c1142cf,4.85
2639449829463fd12c2b9ba6fb9ea1c56e94385f,7.35
2639f9f46c6949536c784118cbcd036cd00c075e,4.85
263d37689dbb1044d8118782303415a1eac550df,6.050000000000001
26b95825d4fbeaeda7cfab5f5e7cd96ae31097f9,8.1
26bf2e6d5a634712af2f46b7057a83a4052ce9b9,6.45
26c932032169ad849d274427dcbdcfb190f843d8,4.15
26cc2520b79b2222de0037a32fcaeb81c09f3002,7.85
26cdb442f5361c690f8045caf5e026e7945e1965,5.35
271c95c3471c6588b4b9ccda962ce197fc94a9b1,5.3
2785407c3fa2ce2c79a914657d9a4610ae1e5078,6.8
27ac09df014fc0454129c9953b06f2dd9b997fa9,8.8
27d6037b0e6ff9972c80bf6192062f3f2e8b076f,6.800000000000001
2813d0ddc37e34a25e798ebf8c8ecb2fc659e8b7,3.5999999999999996
2826a109ddc9b90686ec063ba1f90c72c655f8e7,6.9
2852641e2b7b084ef62df976d53340ead50e5e76,5.75
2855b4b4d03c37c94117e615a25e0e321ec8d77a,0.0
286ccf0d6187c170c299fa64d15a3705e7900a33,5.699999999999999
28940a6516bb354b4172fe3524f8b7328a5cf2fd,7.4
289a5bdde1fa9c49f221f19a10f636e81da724f5,7.4
28a0f5e69c747c78015cf8fb0eac804b9a733bb2,6.6
28a125bc7a4d79ba10eeb2abdaa878d46eea4b32,8.05
28b6c6604b111cc912e369256cac2bf944041a2c,8.15
28bcffd0bfcfb54b43119a7b5397a3bb53278e9a,5.15
299ff5851760da9a9d8b8f218dc82b573a397d51,8.85
29a9c1bfe53383e21dc534379f5fd64c4efd4305,8.0
29c9f517c368a528325a1e38b51adf368923bb04,8.25
29e04945ee56ed79c4e07198c0e66375428284de,7.85
2a6a418be08d9f0184a804b2700a0d58950b219c,5.9
2a8f1b3e408879bc12a312938c32061d9e29a4e9,7.25
2a9497dcb278dde20143d0cb9a57e5cdf3763a8e,8.7
2ad77f650b2381bbdcc0011fe5d9bcffcb109831,7.25
2b1f3237bb60db7f72540e004a1596c7ff3fd549,7.5
2b96fc96ee2e0090a42957d84ccd09cda2c72b74,2.9
2bae7a494d77c9c7cc0ccdc65a1915d25e31d2d5,9.5
2bfadd9c6a7bdbdd1ae792e0225b799ee67453a5,6.550000000000001
2c93a0edb553ae495ba9ca047361240c278f6cf8,4.5
2cc30f03509be89ad3bfd483b2bd69c999798805,5.95
2cd5132c3c49bd9d4d5081e386a4d69a593f850a,5.0
2cddc42a00117daf32501cba07d6dc181de7ed24,9.0
2d450fbabcb95dad1b49ce3a6c70ee6fd9ed6c68,7.5
2d621dbbe38ec756f71d3d1ff5b1f2de707330be,8.05
2e171212b96d4d95e0857baadfdc55455113dfc5,4.85
2e1dbf534b47dc518c2d4d577d312f6969d9e6b9,1.9999999999999998
2e22e4cd67d6f2e9f70782c69e67f4d15bee7d1d,9.1
2e2fe98cf7d490aba85a3eba367d9512bac08ce2,7.199999999999999
2e8b47e527548d947c688069d4a5c60ed67ace19,6.75
2ebc44186d8093752e9c9ad97b67114006718300,7.1
2ecfee45346013cf126b75cfc8bdd2ba3b0c2666,1.85
2f2abfea66cd61a09939960e751666a2c0913430,7.25
2f465acb00ca28cf6a7ef4b71b4df1208eb8fc8c,7.7
2f4cbc9afdd23132d572c5f7a81b4e9b19b8081d,7.0
2f7bdf97a5978e8b7a4b3f69a474540c0c38498e,2.5
2f7ef2d7fa25c0f8d9de0a5ca7301041b9d08e4d,6.7
2f968a678a61cc1179708dc2820405e288ca9c67,6.199999999999999
2fa2244e6e21b8799c5210d92f8966838a43783e,6.6
2fdf9d089409fcb9c3728b0a61bb0a00fcc85db8,8.7
2ffa1b41cbeda2e9683f9d608b9dccdc31323452,4.6
301483d94b9efd8e7d95ca45979a6583215c1d58,7.45
3015441ae521554bb4d04b1e3bad620170a43d79,8.05
308b8bd2a17694ea81d601d025d5cb4ea6fc1fba,8.45
309abbd71d6dc57c03605bdc4ffe90dce74c4f10,4.9
30af7a50bb0bc62e730b65f59788dadf102d49b1,9.3
315b83340476d3a8338543ccdc95dbc86bddb3ab,6.55
32991cd9c0115e4bd4387c8fa3ed559f4eba345e,5.4
32b47658ae606bb95f1bbf1e1dc86accc255e926,6.9
32ccec47f44931be75b93c598cb145c4803be980,5.3
331639421af1df525391f1013c5363683efb9f68,6.199999999999999
334c7722802329509bf82a5cd7b4a38b5825cc42,7.9
334f25ceeca6e440b1210f205c253cdc8d25942e,6.65
3399fb9cc4f115ff1d6a41cf169d8ebd200c3418,5.8
33b16210a7736a6f75ef1b1f3cb7070a4d29395e,6.699999999999999
33b6ac5e8631fb9ee19cfaf3dd4a93928d47bcc3,6.0
33c1babbdbffe79f6f16e085a78ebd0b2a7b3a65,7.95
33c8bfb97b43132f0054b97a2ebb0f5f3768031d,7.949999999999999
33c9e776300c7de11e0736b069b8e5042372d418,7.949999999999999
33ead7fc0a3cd59c67bb412d705c5f5b9cedccfe,7.3
34283eb36b1b51da5126f973e69199151b8f26c2,7.6
346583cc308681a50145af444a26fb217df305c3,8.0
3469c710d9f5a4ef230caca3f99b1ed21411732d,9.1
347b6f40dbac97bd24c857f37744f2c4fd590cc8,8.75
34a00f81f528b38404f04d9a360e73fb17b62031,8.25
34a187324e5c8bb2723a6f51a038acfef94a7538,7.15
34b6d0f0fe1617146945db60df615d0d9bb3a4d1,6.3
34f6fd0da81e68652a26b633fcb7d4d4169e2e75,8.35
34ffbe3d2820a74472b93e9dcabc0e17f75e779c,7.6
357ec20d8f9f416f9b02b0f54a81d3f409d074e9,8.1
358cf36e763ba00426124c74961d59614fd9476a,8.5
35cc3e4b8108e6eb405c96afabb167d6c0f9b50c,7.6
363d3494b7918fffc4e59beed6c76eb7d05b2c64,5.1
363f5d64f8c70c78376d1b5f9485511daa5a9d8c,5.55
36a292355e4b31b866da368ac2bc7902a72d4db2,7.95
36f6af52bd08c15b005618724931a558fa7049f6,5.85
370a904c5a7deb4ae08f111c87564b0180d572b4,0.5
371922831538deb39791562bd384acdf91531999,6.25
374725662b17c0d200a5d372579406bb4d830bb5,5.6
37593f2cd1d978efb79e32ed6981b74ad8523ebd,7.05
37fd8930995a4978e8378d28a84e0aaf3ad85c2d,5.4
37ff40068998a37a4e2c73bbb325103500cdb0e0,7.65
3822d529be3c7a49da411682207b471d61822610,7.25
38397f1c58351146edd1787b0501bbdb31834abd,6.9
