student,predicted_diemqt
ed9eaeb6a707f50154024b24d7efcb874a9795dd,8.09875
ba12c0a2cb367af0467e479c03507c71a805d291,8.73875
b7298b0fe50443a623af9b56792b330c2d052845,8.498125
c60be70309789b39355dc612f36e37090ccad5dc,8.63375
a22a58c5be8aa2c2700619e37f2b7a6e4efa7e6b,8.7325
d5841f944022e9ef49bf6ac9b5546dd82ab2784f,9.375
eb451c65ea210bed6af798282c2c6205c79f71fd,7.764375
c3e73d0362e2b21fae6edfcf518063e8a28b7b63,8.405
df9e2c6cfb6035fa5b26af3b101bacf64e95e913,8.935
99103791231143dd15aa77f2aeb87b2cd4a1c22e,7.03625
e2ed5ffddf1e60198f9f138810f84b7107ca0561,8.48375
8554d1155712da4bc72ec5921db3227311265359,9.065
89fe8b96c04597a0fb63dca3a86e5f36e7580940,7.82125
8b65dcf807a9de0c95c0896919da04523176fab8,7.709375
b6e252e4989b3b422d69eae06831ad0bfd396126,8.185625
9e0457ac0f2824c5e725d83bdeee91ed078343b4,8.64
c9c6d1fdb1bc64d7137f0fb7050e334cbb7c0f6e,8.4675
ed6c052a16794cf2376b1497c505b438e9af69b6,8.3675
c5d903eea354607809419b5e23c869ea16626a59,8.68875
927008a1eb1983b52fe269b504f398ca185603c3,8.7025
fd29d68d81bf469540c56ab7074ad748cd72203c,7.5725
d6f54f87ad964bd1cea20ffceea962f8b6236da3,8.568125
97983f3249349cfcb409b75d5f53e5cbab2bfa5a,8.229375
b72f0fecebc0120609eb4643631055b2e7a31fd7,7.9825
f3a7769633f8060ffee4a0295c55ec9be084e3c0,8.789375
abf736b0441172883ba772951733e73d557598ab,7.091875
af99c21153a5cd9289febb0cc7d1f8cbee810621,6.018125
f5a2b63a98287f49a07f6101717dd4c1048b9903,8.026875
a9947ca4f64f3122a22c7827ae089d48db8fd76d,7.944375
d28c344507f89c41df926794e0d5a96d10349014,9.901875
ac6522ed2e2b8a808bb80970ccffcb6572183349,8.764375
8cf96ad1e77c722694ef03a06a781d61d632f2c0,8.475
92de4c1319bb3b07781b63801e4599302764dc5f,7.538125
f0cbea39c26f2cf588e04885ddc1a439564bd782,8.4175
f1299639d65fd743440958354f22154e171500d0,6.924375
943f8910b7d79d76726a7c50a996a39a00fb033b,8.15875
fc4d0cb084cf3b98bbe820a9fc36fd437940969e,6.535625
c084f1399d2813131b70acb3920068a454cea6d5,7.305625
979ddec134899a31461a05d820b9d6cad713715b,8.66875
f7d331120e9b3a15cf4a0028849bf050846d5d6a,6.96875
8866a6da23ad8a2abfb243905e0b5e2c98e366bc,8.4425
5c67cd01bb445f9b80d30f2c551d0d42776898fe,7.4525
f408354e704d901dac2f283fc8242d2787ee4813,9.3275
e594aa5283c8b2076ece870504b4b6b2e9c29ca9,7.62875
c5b963fdd21435b56c4cf55f49d652d92fc83093,8.52875
948fbf59cd52083820e8e1682a5bc2a34793997a,8.61625
c399382ea2553528d9b44a9aa6492cee7cf0b5c0,8.763125
541270fc6468b9399001ee5a8bfa0cd380e1db60,7.460625
d2a2d2ee79d993c9821f176d9a248223ee59b3c7,8.79375
911daa5a6058823b007274f35ba038da7ec89a11,8.77875
a5b034cb2c29d312a2e5475da6174e196cfc3c1b,9.554375
da7fa747f59ca321b48b414b2f884d027bc961f8,8.525625
dc87f8c4ae8953d2d0bcaf1a08239547d77cdee8,9.22375
8e3a076971fce919b1a5a0bc62dcef86264a1c24,9.235625
987888aba1d68d84a51fcfef4131d649024e0aec,4.775625
c3635fc4a7b4545fc6df8dcad81f86d1e08c66cc,7.749375
8ef9f17bb904f437ec0a9849d820ed0f86843517,8.77375
addfbcc77f77c6c80cc3e55261cec181722e68cb,8.461875
ca84b66fa8d2c26e91bcd21dea081bb062e51711,8.774375
b80a4c674f6640d304722f4a92eb9b47345f1258,5.945625
a3c251eb71ac7769282f383672f19d3cf66f1b04,8.080625
f2c6f4d1250f2570b4dc5edfa7d0952ec4b7194f,7.8375
be7b5a55c3a0343bda6a2a6ad09c5cfe8714b27f,9.245
a593667aa30cd094ca66d70dbb5ee98fc64d38f0,7.276875
c67df30ae6cf151f19df3e36d15f0361619ed47a,7.501875
bf9e4a55173e6e65b88bbf4f18744ea043b07ed6,8.513125
df1a661311bcb75b3b3c258c46ab75819bd6d249,8.404375
a60f543d315ec120d2f433cdccc19342c9c3be02,8.100625
aeae992591ef4a9423528eb6029301cbd29daff5,8.54
b002ea316ac314e47c6aceffd6583bd300962387,9.465625
eaffaa19471bbf9bba8fa5808dd0904474089ae7,8.9025
bdc3fba009b4d570355de5bfedfb6766746789ce,8.159375
97469bc8eac2e4fd57266fa9821a50561a4d8473,9.33
fe659e147194c97b69278c8effb4041297398009,8.435
91ccfc470d803af51ecbb91da39db5592e3a3324,8.021875
dcf7777f614c11ed45f8ff82f2c44d7dd15889af,8.709375
248ff20c10b7d18c30fc84ce214936f5bb440e6e,8.095
8b2735093e532de21b7aabee43b9c76278bdd5cb,8.539375
fe4316169ee8c83567ebc52bc629912ff65f14b6,7.699375
9a8ad4a46036cc65da3ce25da0a1b9e70f979655,7.45625
f1fb0a22c3c46fe87eaf8bdd97d80ed51436f782,8.151875
e299749491b5a979701f0dedd4467ed53aaf7c7c,7.531875
9deeecfc873e74ca5ef8b27fb6b22bf7a536ab86,7.661875
f382c8f54d9fc494b6d8cc0751f694f0acbddca2,8.315
884afc60bb87e1f0d85311221487273fc5d13d13,8.264375
add21f371c1ade0e82ccdacf7ce016dc151a6968,8.799375
ad77e6368d86e38cbf14a33770ca16b204522863,9.05625
a57d3a31b965e00aa208f4d499c0b3637f759838,8.591875
dd98462b95687767f50edcdc4758ff5237c0bcff,8.82625
f7ce1b89f61b8a40a961d7fee02ea31d4b27583a,8.323125
ce5a9a38579b80879f4de53eaab2d0083b685d62,9.544375
f4984561cc406867aa796356b6bf10a2091e67fe,7.999375
137ffd846ed245676a14f1d5e8676a4ef646182b,7.95125
92e2b243f8ca7bf1ce773bedf8205980f034ff05,8.97125
b8b78832d415b2137aaa400ec638ca3828510a71,8.6525
b4742d304d9cd4891aac3cedf5905676e9fcc9d5,9.5925
c1287b2f156f6963bdda82942a95288967e9422b,6.499375
ef5d4cc5cd7a9d46f3e31572d97bd52423bae4e0,8.0475
ebdfeac0c48444c5f4fd377145b2d97e12c78cac,4.620625
f01795183fd859bc35b074c06fd58b5e6623fb03,7.58375
ca01f93cb3384006f7af5de96bc25f924ad8bd14,5.73875
c9c9df2ea1ddcc10cc57d4e1d92b2f8b33d94538,9.203125
d982afe8253215b9a75464a85bb061d5d5f7975a,8.49125
a99c3a5ba8f7e25ea61f79dd74cb89d6d8bf8a43,9.1525
b459886eb6e03f683c364b338a5c2f4776391dbc,7.864375
add17ba1901ea9804a604aeed6ebe191d784785d,7.5925
c757c72ff79910b22c548daf9067d6a682bdbb4b,8.908125
d8cb6954aff8cc17b05a205c949f36b46493eb8b,8.24625
a832f98e370c27f9fbc8e0caec05700a96e89a4e,7.918125
d5cc23d9ca216f0f8c6e5ada7c4e3284a3920958,6.08625
8fa7abd9421e396273c3571b177340434fc132f6,7.945625
fbf5d7997f35a05b4f296b7b70b08866c13db856,8.615625
c6e9fd605b75a5090b1879635a6db8da08b8a600,8.25625
a576ed0ff4b19b2c864b2c489227a491ac670b84,7.946875
de163edff457321dc540b375c7b316c7f9fe73cf,8.433125
92a1cd997867a6115b3d079903e63aba8dd214cf,7.080625
aa01429991aa756b651364d54b7b28c2bfeb6c3c,7.525625
50f17ae2d9048b293cc969aa8668b365f9773f1b,7.78
ff3fa2ec64294f37ae968159f810ebeda7966c51,7.095625
f7875ec1207504a229cd9b5ca132437c6bdd6a4d,8.914375
da37e77368c2bd5a7a9792749fd6ed83e05e2515,7.4725
dfc34f90e58f60b101c824e10d74b8ad0c46a2cf,8.574375
06024da8147b5cf6105beb4c403f67cf1ff0aea1,9.043125
4df58b4a53afe49f40e1c054f9a2e8553352e254,7.778125
ba0b274a12a5891f98da7f012d4c757aeb822917,9.1425
e73e06dbdc983d0a3ccccdf754b85603dd0818e7,8.32625
a05a86b21a7d5922fed8c50f36d307ed7a8cc70b,7.87875
87322721181928972ce2b67242f61ff23275f3dd,9.2125
c001ef5d0a98bae288e504e13db2f1d4533021f5,6.789375
a07cb417ba30c0e4d8cc3831f093740ece8be01d,8.471875
87ce4212940578f8ab9aaab4616b104ab515d4e9,8.65625
d2491eb9351f861cdcd439fd5d73883a6d681d6a,7.7225
9871e11a3a4574e6b565733fe3e565f13d670744,7.208125
a30f91cf4dd6e15b62a675de5087a6db82d61f51,9.105625
ccc7600e812ec5b6e75a9b4e2b04f00a48d1a9dd,9.604375
aa2166a08738eb1a62d78686cce70fc5572d0607,8.919375
73c38d8466f153b974c09c066d1469f63b856d07,8.183125
db4c010c135d84c00fee816a085360bca2537594,9.24125
8531dba6dd1818a4e3f3ba5e355e1e5ea9276afe,6.681875
951b5bb9ecd6593cecd2bd72fdf62a0785bd3b3b,8.1575
bca16481f37f3534abb04344ef1855b0e56140e3,8.005
f679eb92d1581b842e213a6d2a8a74a0b9ede984,6.591875
df15664e980175f8ee9ea6687b81c59f3139406f,7.91
bd53f29596985f567c39329a8f8da5100810f0fd,6.0375
cb713a14e9dcf23999265a8826e204beb646626b,5.784375
fab22b3c9fd685c26953a5ffe073c4aa2a788c7a,7.223125
8674a295a4ae610ccd77b60cbaa692db6a875761,9.0125
bdefe60060197430834e27ee0ecc1d775f5e2b89,9.58875
9f605b4802c811805adc38ae19035ded09a5e4b5,8.035625
dbc27d6c8a04413d73a885a7b2c2d8db605504fe,6.340625
c15e04639eb35379bc74fd289f38b1c9d21e2278,8.080625
a65549b33ec5839c95aa1e9c2e50f74685ad7cc5,7.414375
89b7eb7ce1dccd4f6a7eb59017ac455cf1e57766,8.456875
c308727c618e21c478dba676bcea9d040d179f99,7.990625
eb46bad8df84ccc42fb7bc9cc3a218247777367e,8.899375
c787e77b224890e7fdcc8e2ca0c0577657d98581,7.86125
94ec21d59f07c2091e0359a0085fa6c569ed30c4,8.9225
ec62a3c21a4a116991338ac88863dff35157a1a7,8.16375
9081ee605de7c5e739569f3f829cba953cb918f4,7.8875
e2670654203c6b5aa850edf95ea9e293939963fd,8.444375
a75958bf7ddea02d2c0d5a300c83abfe240f3552,8.1375
c484db51bb8e5e6218578a71ca541b135c2aa1ff,9.42875
bda97a680a69285ab84aefb75abb53676e7f6b55,8.314375
f2efe01b5b7d2613529468857009a02a3cc820b6,7.57875
